assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoformpanther_family	date	annotation_extension_class	taxon
MGI	MGI:MGI:2445003	Arhgap1	PMID:10699171		GO:0043087	regulation of GTPase activity	IDA			20041203		NCBITaxon:10090
UniProt	MGI:MGI:97173	Mt3	MGI:MGI:4881636|PMID:20544854		GO:0043085	positive regulation of catalytic activity	IMP			20120110	CL:0000127|GO:0005802|GO:0005794|UniProtKB:O35657	NCBITaxon:10090
BHF-UCL	MGI:MGI:97169	Msx2	MGI:MGI:5487530|PMID:20843790		GO:2000678	negative regulation of transcription regulatory region DNA binding	IDA			20121203		NCBITaxon:10090
MGI	MGI:MGI:97169	Msx2	PMID:15175325		GO:2000678	negative regulation of transcription regulatory region DNA binding	IDA			20110614		NCBITaxon:10090
MGI	MGI:MGI:97169	Msx2	PMID:15175325		GO:0032792	negative regulation of CREB transcription factor activity	IDA			20110614		NCBITaxon:10090
MGI	MGI:MGI:97168	Msx1	PMID:17030628		GO:0043392	negative regulation of DNA binding	IDA			20110531		NCBITaxon:10090
MGI	MGI:MGI:97168	Msx1	PMID:9697309		GO:2000678	negative regulation of transcription regulatory region DNA binding	IGI	MGI:MGI:96785		20110524		NCBITaxon:10090
UniProt	MGI:MGI:1100500	Flot1	MGI:MGI:5634880|PMID:24046456		GO:0032092	positive regulation of protein binding	IMP			20150414	UniProtKB:P15116|UniProtKB:P30999	NCBITaxon:10090
UniProt	MGI:MGI:96621	Itk	MGI:MGI:1335923|PMID:10213685		GO:0007202	activation of phospholipase C activity	IMP			20110913		NCBITaxon:10090
MGI	MGI:MGI:2151253	Calca	PMID:8582325		GO:0007190	activation of adenylate cyclase activity	IDA			20061114		NCBITaxon:10090
MGI	MGI:MGI:1914371	Mastl	PMID:25246615		GO:1904668	positive regulation of ubiquitin protein ligase activity	IMP			20180323	GO:0051321|CL:0000023|GO:0061630	NCBITaxon:10090
MGI	MGI:MGI:1095413	Lfng	PMID:15574878		GO:0032092	positive regulation of protein binding	IDA			20111221		NCBITaxon:10090
MGI	MGI:MGI:1095404	Mfng	PMID:15574878		GO:0032092	positive regulation of protein binding	IDA			20111221		NCBITaxon:10090
BHF-UCL	MGI:MGI:1095400	Zfpm1	MGI:MGI:3773481|PMID:18063754		GO:0032091	negative regulation of protein binding	IDA			20110810		NCBITaxon:10090
MGI	MGI:MGI:1194489	Guca1b	PMID:15336959		GO:0031282	regulation of guanylate cyclase activity	IGI	MGI:MGI:102770		20050429		NCBITaxon:10090
UniProt	MGI:MGI:1345675	Trib3	MGI:MGI:3687885|PMID:12791994		GO:0006469	negative regulation of protein kinase activity	IDA			20041019		NCBITaxon:10090
BHF-UCL	MGI:MGI:1345675	Trib3	MGI:MGI:3630230|PMID:16794074		GO:0032092	positive regulation of protein binding	IDA			20100430		NCBITaxon:10090
BHF-UCL	MGI:MGI:1345675	Trib3	MGI:MGI:3630230|PMID:16794074		GO:0051443	positive regulation of ubiquitin-protein transferase activity	IDA			20100430		NCBITaxon:10090
MGI	MGI:MGI:1345643	Sufu	PMID:16316410		GO:0042994	cytoplasmic sequestering of transcription factor	IGI	MGI:MGI:95727		20061220		NCBITaxon:10090
MGI	MGI:MGI:1345643	Sufu	PMID:16316410		GO:0042994	cytoplasmic sequestering of transcription factor	IGI	MGI:MGI:95728		20061220		NCBITaxon:10090
MGI	MGI:MGI:108295	Pxn	PMID:23658024		GO:0045860	positive regulation of protein kinase activity	IMP			20131106	GO:0004672|MGI:MGI:95481	NCBITaxon:10090
MGI	MGI:MGI:1914954	1810037I17Rik	PMID:27923914		GO:1901877	negative regulation of calcium ion binding	IDA			20190516		NCBITaxon:10090
MGI	MGI:MGI:1914954	1810037I17Rik	PMID:27923914		GO:1901895	negative regulation of ATPase-coupled calcium transmembrane transporter activity	IDA			20190516		NCBITaxon:10090
UniProt	MGI:MGI:108212	Ripk1	MGI:MGI:6362112|PMID:31519886		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IMP			20191015		NCBITaxon:10090
UniProt	MGI:MGI:108212	Ripk1	MGI:MGI:6362574|PMID:31519887		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IMP			20191015		NCBITaxon:10090
UniProt	MGI:MGI:108212	Ripk1	MGI:MGI:5306563|PMID:20125124		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IMP			20131125		NCBITaxon:10090
MGI	MGI:MGI:108212	Ripk1	PMID:19498109		GO:0051347	positive regulation of transferase activity	IGI	MGI:MGI:2154952		20131011	MGI:MGI:97829	NCBITaxon:10090
UniProt	MGI:MGI:2673064	Tnfsf18	MGI:MGI:5306317|PMID:14521928		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IMP			20111205		NCBITaxon:10090
MGI	MGI:MGI:2443012	Tns3	PMID:27505886		GO:1905099	positive regulation of guanyl-nucleotide exchange factor activity	IDA			20220805		NCBITaxon:10090
MGI	MGI:MGI:1926007	Rictor	PMID:15467718		GO:0043087	regulation of GTPase activity	IMP			20081209		NCBITaxon:10090
MGI	MGI:MGI:2154952	Ripk3	PMID:19498109		GO:0051353	positive regulation of oxidoreductase activity	IDA			20131011	MGI:MGI:95753	NCBITaxon:10090
MGI	MGI:MGI:2154952	Ripk3	PMID:19498109		GO:0051347	positive regulation of transferase activity	IGI	MGI:MGI:108212		20131011	MGI:MGI:97829	NCBITaxon:10090
MGI	MGI:MGI:2154952	Ripk3	PMID:19498109		GO:0051351	positive regulation of ligase activity	IDA			20131011	MGI:MGI:95739	NCBITaxon:10090
MGI	MGI:MGI:3691603	Mir744	PMID:22053081		GO:1903025	regulation of RNA polymerase II regulatory region sequence-specific DNA binding	IDA			20140806		NCBITaxon:10090
UniProt	MGI:MGI:2144613	Pik3r6	MGI:MGI:4413485|PMID:19906996		GO:0043406	positive regulation of MAP kinase activity	IDA			20120703		NCBITaxon:10090
MGI	MGI:MGI:108093	Bid	PMID:12011074		GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	IMP	MGI:MGI:2158671		20130513		NCBITaxon:10090
ARUK-UCL	MGI:MGI:108092	Bin1	MGI:MGI:5811968|PMID:27179792		GO:1902960	negative regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process	IMP			20190717	CL:0002609|UniProtKB:P12023:PRO_0000000119|UniProtKB:P56818|CL:0002609|UniProtKB:P12023:PRO_0000000118|UniProtKB:P56818|CL:0002609|UniProtKB:P12023:PRO_0000000116|UniProtKB:P56818	NCBITaxon:10090
MGI	MGI:MGI:2448480	Fancd2	PMID:24501220		GO:0051090	regulation of DNA-binding transcription factor activity	IMP	MGI:MGI:2673422		20160120		NCBITaxon:10090
MGI	MGI:MGI:108083	Kcnq1	PMID:23542581		GO:1905150	regulation of voltage-gated sodium channel activity	IMP			20210324		NCBITaxon:10090
MGI	MGI:MGI:108083	Kcnq1	PMID:24595108		GO:0032409	regulation of transporter activity	IMP			20210325		NCBITaxon:10090
BHF-UCL	MGI:MGI:108075	Smo	MGI:MGI:5142377|PMID:11517919		GO:0007228	positive regulation of hh target transcription factor activity	IMP			20110719		NCBITaxon:10090
UniProt	MGI:MGI:108075	Smo	MGI:MGI:3611729|PMID:16396903		GO:0043392	negative regulation of DNA binding	IMP			20110731		NCBITaxon:10090
MGI	MGI:MGI:108075	Smo	PMID:16396903		GO:0043392	negative regulation of DNA binding	IGI	MGI:MGI:95729		20060227	GO:0003677	NCBITaxon:10090
MGI	MGI:MGI:108061	Wnt10b	PMID:19056892		GO:0051091	positive regulation of DNA-binding transcription factor activity	IDA			20100723	MGI:MGI:96770	NCBITaxon:10090
MGI	MGI:MGI:108051	Smad2	PMID:15282343		GO:0051098	regulation of binding	IDA			20050520		NCBITaxon:10090
MGI	MGI:MGI:2441706	Traf3ip3	PMID:31390091		GO:0043496	regulation of protein homodimerization activity	IMP	MGI:MGI:5795738		20220720	MGI:MGI:1859179	NCBITaxon:10090
UniProt	MGI:MGI:108041	Traf3	MGI:MGI:3722053|PMID:17015635		GO:0032088	negative regulation of NF-kappaB transcription factor activity	IMP			20100929		NCBITaxon:10090
MGI	MGI:MGI:1352456	Nr4a2	PMID:11517332		GO:0043085	positive regulation of catalytic activity	IMP	MGI:MGI:2429971		20080811	GO:0003824|MGI:MGI:98735	NCBITaxon:10090
UniProt	MGI:MGI:1916851	Dab2ip	MGI:MGI:4453088|PMID:19948740		GO:0034260	negative regulation of GTPase activity	IMP			20130326		NCBITaxon:10090
UniProt	MGI:MGI:1916851	Dab2ip	MGI:MGI:4453088|PMID:19948740		GO:0043087	regulation of GTPase activity	IMP			20130326		NCBITaxon:10090
BHF-UCL	MGI:MGI:1916851	Dab2ip	MGI:MGI:3796479|PMID:18281285		GO:0043507	positive regulation of JUN kinase activity	IMP			20101119		NCBITaxon:10090
BHF-UCL	MGI:MGI:1916851	Dab2ip	MGI:MGI:4398763|PMID:19903888		GO:0071901	negative regulation of protein serine/threonine kinase activity	IMP			20101119		NCBITaxon:10090
BHF-UCL	MGI:MGI:1916851	Dab2ip	MGI:MGI:4398763|PMID:19903888		GO:0071902	positive regulation of protein serine/threonine kinase activity	IMP			20101119		NCBITaxon:10090
BHF-UCL	MGI:MGI:1916851	Dab2ip	MGI:MGI:4431163|PMID:20080667		GO:0071902	positive regulation of protein serine/threonine kinase activity	IMP			20101119		NCBITaxon:10090
MGI	MGI:MGI:1916813	Mrln	PMID:27923914		GO:1901877	negative regulation of calcium ion binding	IDA			20190516		NCBITaxon:10090
MGI	MGI:MGI:1916813	Mrln	PMID:27923914		GO:1901895	negative regulation of ATPase-coupled calcium transmembrane transporter activity	IDA			20190516		NCBITaxon:10090
UniProt	MGI:MGI:97370	Enpp1	MGI:MGI:6220772|PMID:30111653		GO:1990787	negative regulation of hh target transcription factor activity	IMP			20190319		NCBITaxon:10090
UniProt	MGI:MGI:97363	Notch1	MGI:MGI:5318027|PMID:17573339		GO:0043086	negative regulation of catalytic activity	IDA			20120312		NCBITaxon:10090
MGI	MGI:MGI:97362	Nos3	PMID:12074580		GO:0051346	negative regulation of hydrolase activity	IMP	MGI:MGI:2150145		20061130		NCBITaxon:10090
MGI	MGI:MGI:97360	Nos1	PMID:12074580		GO:0051346	negative regulation of hydrolase activity	IMP	MGI:MGI:1857227		20061130		NCBITaxon:10090
UniProt	MGI:MGI:97352	Nkx3-1	MGI:MGI:5294290|PMID:18296735		GO:0051091	positive regulation of DNA-binding transcription factor activity	IMP			20181016	UniProtKB:P63267	NCBITaxon:10090
ARUK-UCL	MGI:MGI:97321	Ngf	MGI:MGI:6115179|PMID:10362258		GO:0043388	positive regulation of DNA binding	IMP			20180124	UniProtKB:B2RWS6|UniProtKB:P38936|CHEBI:4705|UniProtKB:O89090|UniProtKB:P38936|CHEBI:4705|UniProtKB:O70494|UniProtKB:P38936|CHEBI:4705	NCBITaxon:10090
MGI	MGI:MGI:97320	Klk1b4	PMID:15728722		GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	IDA			20060106		NCBITaxon:10090
MGI	MGI:MGI:97311	Nfix	PMID:27880909		GO:0051090	regulation of DNA-binding transcription factor activity	IMP	MGI:MGI:3802571		20221102		NCBITaxon:10090
MGI	MGI:MGI:97307	Nf2	PMID:14580336		GO:0006469	negative regulation of protein kinase activity	IDA			20040212		NCBITaxon:10090
MGI	MGI:MGI:97307	Nf2	PMID:16405865		GO:0006469	negative regulation of protein kinase activity	IMP			20070119	GO:0004672	NCBITaxon:10090
MGI	MGI:MGI:97306	Nf1	PMID:11788835		GO:0045762	positive regulation of adenylate cyclase activity	IMP	MGI:MGI:1857444		20070212	GO:0004016	NCBITaxon:10090
MGI	MGI:MGI:97306	Nf1	PMID:10620616		GO:0043407	negative regulation of MAP kinase activity	IGI	MGI:MGI:96677		20070130	GO:0004707	NCBITaxon:10090
MGI	MGI:MGI:97306	Nf1	PMID:11435472		GO:0043547	positive regulation of GTPase activity	IMP	MGI:MGI:1857478		20070208	GO:0003924	NCBITaxon:10090
MGI	MGI:MGI:97306	Nf1	PMID:8563750		GO:0043547	positive regulation of GTPase activity	IMP	MGI:MGI:1857444		20070208	GO:0003924	NCBITaxon:10090
MGI	MGI:MGI:97306	Nf1	PMID:12409258		GO:0043407	negative regulation of MAP kinase activity	IGI	MGI:MGI:96159		20070212	GO:0004707	NCBITaxon:10090
MGI	MGI:MGI:97306	Nf1	PMID:12409258		GO:0043407	negative regulation of MAP kinase activity	IMP	MGI:MGI:1857478		20070212	GO:0004707	NCBITaxon:10090
MGI	MGI:MGI:97306	Nf1	PMID:17053831		GO:0006469	negative regulation of protein kinase activity	IGI	MGI:MGI:1339753		20070212	GO:0004672|MGI:MGI:87986	NCBITaxon:10090
MGI	MGI:MGI:97306	Nf1	PMID:10620616		GO:0043407	negative regulation of MAP kinase activity	IGI	MGI:MGI:96974		20070130	GO:0004707	NCBITaxon:10090
MGI	MGI:MGI:97306	Nf1	PMID:16835260		GO:0006469	negative regulation of protein kinase activity	IMP	MGI:MGI:1857478		20070212	GO:0004672|MGI:MGI:87859	NCBITaxon:10090
MGI	MGI:MGI:97306	Nf1	PMID:11297510		GO:0043407	negative regulation of MAP kinase activity	IMP	MGI:MGI:2176055|MGI:MGI:2176057		20070130	GO:0004707	NCBITaxon:10090
MGI	MGI:MGI:97302	Nedd9	PMID:25621495		GO:0090630	activation of GTPase activity	IGI	MGI:MGI:104686		20181101		NCBITaxon:10090
MGI	MGI:MGI:97302	Nedd9	PMID:25621495		GO:0090630	activation of GTPase activity	IGI	MGI:MGI:88508		20181101		NCBITaxon:10090
MGI	MGI:MGI:97302	Nedd9	PMID:25621495		GO:0090630	activation of GTPase activity	IGI	MGI:MGI:104580		20181101		NCBITaxon:10090
MGI	MGI:MGI:1916782	Hopx	PMID:20833366		GO:0043393	regulation of protein binding	IDA			20120830		NCBITaxon:10090
UniProt	MGI:MGI:2445102	Dhx33	MGI:MGI:6120210|PMID:24037184		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IMP			20180222		NCBITaxon:10090
MGI	MGI:MGI:97631	Pmp22	PMID:27583434		GO:0071900	regulation of protein serine/threonine kinase activity	IMP	MGI:MGI:2447704		20180725		NCBITaxon:10090
MGI	MGI:MGI:2653833	Nlrp3	PMID:17008311		GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	IMP	MGI:MGI:3686871		20080703		NCBITaxon:10090
UniProt	MGI:MGI:97622	Pln	MGI:MGI:6304509|PMID:30299255		GO:1901895	negative regulation of ATPase-coupled calcium transmembrane transporter activity	IMP			20190408		NCBITaxon:10090
MGI	MGI:MGI:97622	Pln	PMID:27923914		GO:1901895	negative regulation of ATPase-coupled calcium transmembrane transporter activity	IDA			20190516		NCBITaxon:10090
MGI	MGI:MGI:97622	Pln	PMID:27923914		GO:1901877	negative regulation of calcium ion binding	IDA			20190516		NCBITaxon:10090
MGI	MGI:MGI:97622	Pln	PMID:10603936		GO:0060314	regulation of ryanodine-sensitive calcium-release channel activity	IMP	MGI:MGI:2158357		20120801		NCBITaxon:10090
MGI	MGI:MGI:97621	Plk1	PMID:27979967		GO:0043393	regulation of protein binding	IMP			20180405	GO:0005515	NCBITaxon:10090
ARUK-UCL	MGI:MGI:97616	Plcg2	MGI:MGI:3844414|PMID:19136564		GO:0051091	positive regulation of DNA-binding transcription factor activity	IMP			20210416	CL:0000451|GO:1990858|UniProtKB:P05627	NCBITaxon:10090
ARUK-UCL	MGI:MGI:97616	Plcg2	MGI:MGI:3844414|PMID:19136564		GO:0051091	positive regulation of DNA-binding transcription factor activity	IMP			20210416	CL:0000451|GO:1990858|UniProtKB:P97305	NCBITaxon:10090
ARUK-UCL	MGI:MGI:97616	Plcg2	MGI:MGI:3844414|PMID:19136564		GO:0051091	positive regulation of DNA-binding transcription factor activity	IMP			20210416	CL:0000451|GO:1990858|UniProtKB:Q60591	NCBITaxon:10090
ARUK-UCL	MGI:MGI:97616	Plcg2	MGI:MGI:3844414|PMID:19136564		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IMP			20210416	CL:0000451|GO:1990858	NCBITaxon:10090
MGI	MGI:MGI:97616	Plcg2	PMID:15611229		GO:0032237	activation of store-operated calcium channel activity	IMP			20080723		NCBITaxon:10090
BHF-UCL	MGI:MGI:97603	Pkd1	MGI:MGI:5315699|PMID:16311606		GO:0032092	positive regulation of protein binding	IMP			20120118		NCBITaxon:10090
BHF-UCL	MGI:MGI:97603	Pkd1	MGI:MGI:5315699|PMID:16311606		GO:0042994	cytoplasmic sequestering of transcription factor	IMP			20120118		NCBITaxon:10090
UniProt	MGI:MGI:97601	Prkcq	MGI:MGI:2663371|PMID:12782715		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IMP			20111208		NCBITaxon:10090
MGI	MGI:MGI:105083	Slc1a1	PMID:16858406		GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	IDA			20200917		NCBITaxon:10090
MGI	MGI:MGI:105083	Slc1a1	PMID:23827345		GO:0032148	activation of protein kinase B activity	IMP			20201015		NCBITaxon:10090
MGI	MGI:MGI:105083	Slc1a1	PMID:16858406		GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	IMP			20200917		NCBITaxon:10090
UniProt	MGI:MGI:105051	Ksr1	MGI:MGI:2668780|PMID:12874031		GO:0043405	regulation of MAP kinase activity	IMP			20180320		NCBITaxon:10090
MGI	MGI:MGI:1352630	Abcc9	PMID:31575858		GO:1903760	regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	IMP	MGI:MGI:6389242		20210816	UBERON:0002082	NCBITaxon:10090
UniProt	MGI:MGI:97596	Prkcb	MGI:MGI:3700457|PMID:16301747		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IMP			20111212		NCBITaxon:10090
CAFA	MGI:MGI:97595	Prkca	MGI:MGI:5882922|PMID:7828597		GO:0010360	negative regulation of anion channel activity	IMP			20170123		NCBITaxon:10090
MGI	MGI:MGI:97595	Prkca	PMID:11923480		GO:0006469	negative regulation of protein kinase activity	IMP	MGI:MGI:2679305		20040712		NCBITaxon:10090
MGI	MGI:MGI:97587	Pim2	PMID:17476689		GO:0032091	negative regulation of protein binding	IMP			20151201	CL:0000138|GO:0005515	NCBITaxon:10090
MGI	MGI:MGI:1916161	Pygo2	PMID:23637336		GO:0035563	positive regulation of chromatin binding	IMP	MGI:MGI:5518423		20140226		NCBITaxon:10090
BHF-UCL	MGI:MGI:108520	Fzd4	MGI:MGI:3621833|PMID:15035989		GO:0051091	positive regulation of DNA-binding transcription factor activity	IDA			20110606		NCBITaxon:10090
MGI	MGI:MGI:108520	Fzd4	PMID:15195140		GO:0043507	positive regulation of JUN kinase activity	IGI	MGI:MGI:1923484		20111220		NCBITaxon:10090
MGI	MGI:MGI:108520	Fzd4	PMID:15195140		GO:0043507	positive regulation of JUN kinase activity	IGI	MGI:MGI:2135272		20111220		NCBITaxon:10090
UniProt	MGI:MGI:2181667	Bbc3	MGI:MGI:5448480|PMID:22761832		GO:2001056	positive regulation of cysteine-type endopeptidase activity	IMP			20121004		NCBITaxon:10090
UniProt	MGI:MGI:2181667	Bbc3	MGI:MGI:4879048|PMID:21159964		GO:2001056	positive regulation of cysteine-type endopeptidase activity	IMP			20121008		NCBITaxon:10090
MGI	MGI:MGI:1926387	Cdon	PMID:15572127		GO:0043393	regulation of protein binding	IDA			20190716		NCBITaxon:10090
MGI	MGI:MGI:1926387	Cdon	PMID:16648472		GO:0043393	regulation of protein binding	IDA			20190716		NCBITaxon:10090
BHF-UCL	MGI:MGI:1100089	Tnfsf11	MGI:MGI:4413614|PMID:19940926		GO:0051091	positive regulation of DNA-binding transcription factor activity	IDA			20100611		NCBITaxon:10090
MGI	MGI:MGI:1100089	Tnfsf11	PMID:19715671		GO:1904616	regulation of actin binding	IDA			20190124		NCBITaxon:10090
MGI	MGI:MGI:101791	Isl1	PMID:15659653		GO:0043388	positive regulation of DNA binding	IDA			20111011		NCBITaxon:10090
MGI	MGI:MGI:101780	Serpine2	PMID:15509762		GO:0010466	negative regulation of peptidase activity	IMP	MGI:MGI:2387774		20100430	GO:0008233	NCBITaxon:10090
MGI	MGI:MGI:101780	Serpine2	PMID:18398001		GO:0010466	negative regulation of peptidase activity	IMP	MGI:MGI:2387774		20100503	GO:0008233|MGI:MGI:88380	NCBITaxon:10090
UniProt	MGI:MGI:101773	Cd86	MGI:MGI:5461234|PMID:23241883		GO:0007202	activation of phospholipase C activity	IDA			20200423		NCBITaxon:10090
UniProt	MGI:MGI:101773	Cd86	MGI:MGI:5461234|PMID:23241883		GO:1990051	activation of protein kinase C activity	IDA			20200423		NCBITaxon:10090
MGI	MGI:MGI:101765	Cdk5	PMID:16203963		GO:0045860	positive regulation of protein kinase activity	IMP	MGI:MGI:1861809		20070917	GO:0004672|MGI:MGI:95410	NCBITaxon:10090
MGI	MGI:MGI:101765	Cdk5	PMID:18054859		GO:0032092	positive regulation of protein binding	IMP	MGI:MGI:4941830		20120501		NCBITaxon:10090
MGI	MGI:MGI:101764	Cdk5r1	PMID:11517264		GO:0045860	positive regulation of protein kinase activity	IGI	MGI:MGI:1330828		20120306		NCBITaxon:10090
UniProt	MGI:MGI:108466	Ralbp1	MGI:MGI:1195509|PMID:8570186		GO:0043547	positive regulation of GTPase activity	IDA			20060222		NCBITaxon:10090
MGI	MGI:MGI:108460	Fzd8	PMID:15195140		GO:0043507	positive regulation of JUN kinase activity	IDA			20111227		NCBITaxon:10090
MGI	MGI:MGI:108448	Angpt1	PMID:20060382		GO:0043393	regulation of protein binding	IDA			20140917		NCBITaxon:10090
MGI	MGI:MGI:108440	Amot	PMID:17699752		GO:0034260	negative regulation of GTPase activity	IMP	MGI:MGI:2656627		20120113	GO:0003924|MGI:MGI:97845	NCBITaxon:10090
UniProt	MGI:MGI:108429	Lpar1	MGI:MGI:5645211|PMID:11040035		GO:0007202	activation of phospholipase C activity	IDA			20150713		NCBITaxon:10090
UniProt	MGI:MGI:108407	Rgs16	MGI:MGI:5706919|PMID:10373502		GO:0043547	positive regulation of GTPase activity	IDA			20160107		NCBITaxon:10090
UniProt	MGI:MGI:1916017	Washc1	MGI:MGI:5519172|PMID:23974797		GO:0043553	negative regulation of phosphatidylinositol 3-kinase activity	IDA			20141208		NCBITaxon:10090
MGI	MGI:MGI:108028	Atr	PMID:15983387		GO:0043393	regulation of protein binding	IDA			20060630		NCBITaxon:10090
MGI	MGI:MGI:108022	Pkn1	PMID:23223530		GO:0006469	negative regulation of protein kinase activity	IMP	MGI:MGI:5475202		20141006		NCBITaxon:10090
MGI	MGI:MGI:108005	Myd88	PMID:19265123		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IMP			20160217		NCBITaxon:10090
MGI	MGI:MGI:108005	Myd88	PMID:12855817		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IMP	MGI:MGI:2385681		20210323		NCBITaxon:10090
MGI	MGI:MGI:108005	Myd88	PMID:19265123		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IGI	MGI:MGI:1918518		20160217		NCBITaxon:10090
MGI	MGI:MGI:108005	Myd88	PMID:19265123		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IDA			20160217		NCBITaxon:10090
MGI	MGI:MGI:108005	Myd88	PMID:12855817		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IGI	MGI:MGI:2147032		20210323	CL:0000057	NCBITaxon:10090
UniProt	MGI:MGI:2145814	Ppif	MGI:MGI:5487522|PMID:21281446		GO:0010849	regulation of proton-transporting ATPase activity, rotational mechanism	IMP			20121220		NCBITaxon:10090
UniProt	MGI:MGI:2145814	Ppif	MGI:MGI:5486536|PMID:19801635		GO:0010849	regulation of proton-transporting ATPase activity, rotational mechanism	IMP			20121220		NCBITaxon:10090
UniProt	MGI:MGI:2145814	Ppif	MGI:MGI:5487522|PMID:21281446		GO:0032780	negative regulation of ATP-dependent activity	IMP			20121220		NCBITaxon:10090
UniProt	MGI:MGI:2145814	Ppif	MGI:MGI:5487522|PMID:21281446		GO:2000276	negative regulation of oxidative phosphorylation uncoupler activity	IMP			20121220		NCBITaxon:10090
MGI	MGI:MGI:3056295	Spag8	PMID:20488182		GO:0032092	positive regulation of protein binding	IDA			20120831		NCBITaxon:10090
ParkinsonsUK-UCL	MGI:MGI:2135607	Sirt1	MGI:MGI:5607229|PMID:20955178		GO:0043433	negative regulation of DNA-binding transcription factor activity	IMP			20150121	UniProtKB:O35426	NCBITaxon:10090
UniProt	MGI:MGI:2135607	Sirt1	MGI:MGI:5306579|PMID:18687677		GO:2000481	positive regulation of cAMP-dependent protein kinase activity	IDA			20111125		NCBITaxon:10090
UniProt	MGI:MGI:2144518	Stac2	MGI:MGI:6159321|PMID:29467163		GO:1901387	positive regulation of voltage-gated calcium channel activity	IMP			20180515		NCBITaxon:10090
UniProt	MGI:MGI:2135637	Park7	MGI:MGI:5825417|PMID:26021615		GO:0033864	positive regulation of NAD(P)H oxidase activity	IMP			20170117		NCBITaxon:10090
UniProt	MGI:MGI:2135637	Park7	MGI:MGI:4889134|PMID:21068725		GO:2000277	positive regulation of oxidative phosphorylation uncoupler activity	IMP			20101222		NCBITaxon:10090
MGI	MGI:MGI:2448375	H2bc1	PMID:17690254		GO:0051099	positive regulation of binding	IMP			20101116		NCBITaxon:10090
MGI	MGI:MGI:1335089	Fem1a	PMID:18270204		GO:0043407	negative regulation of MAP kinase activity	IDA			20130301		NCBITaxon:10090
MGI	MGI:MGI:1919949	Lime1	PMID:16249387		GO:0043405	regulation of MAP kinase activity	IMP			20110223		NCBITaxon:10090
ParkinsonsUK-UCL	MGI:MGI:1858416	Stk39	MGI:MGI:5574433|PMID:24393035		GO:1901017	negative regulation of potassium ion transmembrane transporter activity	IGI	UniProtKB:Q6P9R2		20141006		NCBITaxon:10090
UniProt	MGI:MGI:1858414	Ngef	MGI:MGI:3696283|PMID:17143272		GO:0043087	regulation of GTPase activity	IDA			20110819		NCBITaxon:10090
BHF-UCL	MGI:MGI:87966	Agtr2	MGI:MGI:4399018|PMID:17000928		GO:0051000	positive regulation of nitric-oxide synthase activity	IDA			20080521		NCBITaxon:10090
MGI	MGI:MGI:87963	Agt	PMID:19404405		GO:0007250	activation of NF-kappaB-inducing kinase activity	IDA			20110715	GO:0004704	NCBITaxon:10090
MGI	MGI:MGI:87963	Agt	PMID:23775122		GO:1900020	positive regulation of protein kinase C activity	IDA			20140924	MGI:MGI:97595	NCBITaxon:10090
MGI	MGI:MGI:87963	Agt	PMID:23775122		GO:1900020	positive regulation of protein kinase C activity	IDA			20140924	MGI:MGI:97596	NCBITaxon:10090
UniProt	MGI:MGI:87961	Agrn	MGI:MGI:5545965|PMID:21969364		GO:0032092	positive regulation of protein binding	IDA			20140725	UniProtKB:Q8VI56|UniProtKB:Q61006	NCBITaxon:10090
UniProt	MGI:MGI:87961	Agrn	MGI:MGI:2680892|PMID:14622576		GO:0043087	regulation of GTPase activity	IDA			20111111		NCBITaxon:10090
BHF-UCL	MGI:MGI:87961	Agrn	MGI:MGI:4352602|PMID:19376779		GO:0061098	positive regulation of protein tyrosine kinase activity	IDA			20150116	CL:0002131|GO:1903406	NCBITaxon:10090
BHF-UCL	MGI:MGI:87961	Agrn	MGI:MGI:4352602|PMID:19376779		GO:1903407	negative regulation of P-type sodium:potassium-exchanging transporter activity	IDA			20160617	CL:0002131|UniProtKB:Q6PIC6|GO:0042383|UniProtKB:Q6PIC6|EMAPA:16894|GO:0005886|UBERON:0009953|EMAPA:17331|GO:0042383|CL:0000746|UniProtKB:Q6PIC6	NCBITaxon:10090
